ref_id,category,structure,description,verification_target,refs_version,static_evidence_level,static_analysis_notes,raw_analysis_notes
GN_FOPS_SA_001,General,File Operations,RefsCommonCleanup: LARGEST function (65050B Win10 / 61441B Win11). Handles IRP_MJ_CLEANUP (last handle close). If file marked for deletion performs actual removal via B+-tree row deletion.,No,both,E2,See RefsCommonCleanup.md. PDB + decompilation confirm deletion path,
GN_FOPS_SA_002,General,File Operations,File create chain: RefsFsdCreate->RefsCommonCreate->RefsCreateFcb(1049B)->RefsInitializeFcbAndStdInfo->RefsSetStandardInfo->MsUpdateDataWithRoot->checkpoint,No,both,E2,,
GN_INS_SA_001,General,Insider,Insider build 10.0.29574.1000: 6430 funcs (+10.5% vs Win11); 648 insider-only PDB names; boot volume support,No,insider,E2 (all),,
GN_INS_SA_002,General,Insider Boot,CmsVolumeAttestation (40 funcs): TPM/certificate attestation; HMAC over checkpoint/log records. CmsRollbackProtection (13 funcs): UEFI NVRAM monotonic counter,No,insider,E2,,
GN_INS_SA_003,General,Insider Boot,Embedded SymCrypt (153 funcs) for early boot + MinCrypt (57 funcs) for certificate chain validation before CNG.sys available,No,insider,E2,,
GN_XVER_SA_001,General,Cross-version,Function comparison: 1931 common (exact key match); 1998 Win10-only; 3856 Win11-only,No,both,N/A,,
GN_IMP_SA_001,General,Imports,Import table: v3.4=415 imports (2 libraries) vs v3.14=566 (7 libraries). +36% growth. New Win11 libraries: cng.sys(15) ext-ms-win-ntos-ksr(6) msrpc.sys(6) ext-ms-win-crypto-xbox(5) ext-ms-win-ntos-clipsp(1). 184 new imports total; 33 removed,No,3.14,E2,Ghidra quick.json imports[] arrays for all 3 binaries,
GN_OOP_SA_001,General,OOP,"Win11 upper-layer OOP: 13 named C++ classes with 72 methods + ~345 lambda helpers. Win10 was purely procedural (0 classes, 1248 free functions)",No,3.14,N/A,,
GN_UTIL_SA_001,General,refsutil,"Win11 refsutil.exe embeds 100 Minstore core functions (CmsBPlusTable, CmsVolume, CmsStream) for offline volume manipulation",No,3.14,E2 (win11+),,
FS_VBR_RA_002,File System,VBR,0x48-0x57: Extended GUID (per InitializeVcbFromBootSector → VCB+0x33F0). Unique GUID generated per format event. First appears at v3.10 (Win11 23H2). Zero on v3.4/v3.7/v3.9 and upgraded volumes. Same disk formatted twice → different GUIDs confirmed.,No,3.10,E2 (all),InitializeVcbFromBootSector copies bs+0x48 to VCB+0x33F0 (decompiled from Insider build). See InitializeVcbFromBootSector.md,Verified on 80+ images: all Win10 zeros; 30+ Win11 unique GUIDs; user dual-format test confirms per-format generation; stable across mount/unmount. Static analysis: InitializeVcbFromBootSector copies to VCB+0x33F0
GN_ARCH_RA_001,General,Architecture,Three-table real-LCN bootstrap exception: roots 7+8 (Container Table) + root 12 (Small Allocator). All other roots use virtual addressing,No,both,E2,"ValidateCheckpointRecord contains hardcoded bootstrap root indices {7,8,12} as literal array",Not documented in Prade or Lee. Prade only mentions Container Table; does not document Small Allocator exception
AP_LGFL_RA_002,Application,Logfile,MLog physical location: PLCN 0x30 (3.4) vs PLCN 0x8000 (3.14). Version-specific relocation,No,both,E2,CmsDurableLog::WriteLog offset calculation confirms PLCN allocation,"3.14 moves MLog to container boundary, freeing early clusters for metadata"
AP_LGFL_RA_003,Application,Logfile,"Log data area contains MSB+ page images (physical logging model, not logical field-level logging)",No,both,E2,CmsRestarter::RedoPass replays MSB+ page images from log (physical redo model),58-94 MSB+ pages found in log data area scans. CoW + physical page logging = complete page state preserved
FS_OTBL_RA_001,File System,Object Table,"OID 0x30 = Session Activity Table. First appears in v3.10 (Win11 23H2). Stores per-mount-session IO/allocation statistics. Key: FILETIME + sub-ID. Present on all 46 v3.10+/v3.14 images, absent on all 15 v3.4/v3.7/v3.9 images. Created during upgrade of pre-3.10 volumes.",No,v3.10+,N/A,RefsTelemetryPerfCountersWorker references OID 0x30 session table,"Deep-decoded via refs_oid30_analysis.py: B+ tree with FILETIME-keyed rows, two value formats (80-byte summary, 44-byte per-category). Correlates with RefsTelemetryPerfCountersWorker in static analysis. Independent of heat gathering. Forensic value: mount session timestamps and activity metrics."
FS_VBR_RA_006,File System,VBR,"refsutil fixboot sets container_size=0 at offset 0x40, preventing virtual-to-physical address translation",No,3.14,N/A,refsutil.exe behavior; not in refs.sys driver,"Critical finding: without container size the mount code cannot resolve virtual LCNs via container table | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Behavioral; corroborated on the 1 fixboot image. The 'prevents VLCN->PLCN translation' consequence is logical (container size feeds Translator cpc) but I did not attempt to mount/translate the corrupted image."
GN_ARCH_RA_002,General,Architecture,NTFS and ReFS both reject ADS on symlink targets — OS limitation not filesystem-specific,No,both,N/A,Empirical observation; not yet verified in driver code,Same Set-Content error on symlinks for both NTFS and ReFS during Generate-FSActivitySpecials
FS_VINF_RA_001,File System,Volume Info,"Volume label (key 0x510) is raw UTF-16LE with no length header — first bytes are first character, null-terminated",No,both,N/A,Empirical observation; not yet verified in driver code,Initially misinterpreted as length-prefixed. Corrected in refs_volume_info.py Bug #3
GN_BPT_RA_001,General,B+-tree,B+-tree row header is 16 bytes (not 14 as Prade documents). Extra u16 padding at 0x0E for 8-byte alignment,No,both,E2,"CmsBPlusTable row operations use 16-byte header (key_offset at +0x04, value_offset at +0x06, key_length at +0x08)",Matches ARIN tool ROW_HDR_3FORMAT '<I6H' = 16 bytes. Prade describes 7 fields totaling 14 bytes but omits alignment padding
GN_DTCT_RA_001,General,Detection,BitLocker and NTFS volumes correctly detected as non-ReFS by all tools (graceful failure with clear error messages),No,both,E2,"RefsIsBootSectorOurs validates ""ReFS"" signature at +0x03 — rejects non-ReFS volumes",Tested with win11refsbitlocked (-FVE-FS- signature) and win11ntfs (NTFS signature). Tools reject with descriptive errors
AP_LGFL_RA_004,Application,Logfile,"MLog data pages = LogCore records with a 0x78 (120)-byte header [sig@0x00 + magic@0x04 (constant-per-volume NOT a CRC; see E42) + version@0x08 + log_block_size@0x0C + UUID@0x10 + counter@0x20 + LSN@0x28 + prevLSN@0x30 + length-in-4K-blocks@0x38/0x3C + entry_offset@0x54=0x78]. CORRECTED from ""56-byte (CRC...)""",No,3.14,E2,LogCoreWriteDataRecord/LogInitializeEntryHeader build the 0x78 header; 0x04=magic from handle+0x2fe8 validated by equality (not CRC); real checksum = XOR-fold at entry+0x08 (page+0x80). v3.4/v3.14/Insider identical,probe_logcore_record.py RD-verified on 10 images (v3.4/3.7/3.14/upgraded/compression/262K/Insider-4K+64K). 0x04 constant per volume (win11 0x84c1ffcf; win10 0x998da6fd); entry+0x08 checksum varies per record; LSN chains prevLSN[n]==LSN[n-1] pre-wrap
AP_LGFL_RA_005,Application,Logfile,Log wrapping detection: record_index can exceed physical page count in data area. Circular buffer confirmed,No,3.14,E2,CmsDurableLog wrapping logic: write pointer wraps to beginning of data area when reaching end,Confirmed by refs_mlog.py. win11refs2tmillionsofactions shows max record_index=41142 vs 12738 physical pages
AP_LGFL_RA_006,Application,Logfile,MLog data area LCNs (from OID 0x9 key=1) are physical — no container translation needed. Entire MLog operates in physical address space.,No,both,E2,CmsDurableLog reads physical LCNs directly without CmsVolumeContainer translation. OID 0x9 Logfile Information Table stores data area range as physical clusters.,refs_mlog.py reads data area pages at physical offsets (no tr.tr() call). All 25 baseline images parse correctly. Discovery contradicted implementation plan which assumed container translation was required.
FS_CHKP_RA_008,File System,Checkpoint,Root table provenance chain: all 13 root index-to-table mappings confirmed by three independent sources: (1) PDB-named initialization function at that index (2) schema type from B+-tree page header (3) table ID from page header. Bootstrap roots {7 8 12} hardcoded in ValidateCheckpointRecord,No,both,E1,"CmsVolume::Start decompilation shows init sequence. ValidateCheckpointRecord contains {0xC,7,8} literal for bootstrap. MS_CP_INDEX_PARENTCHILD=4 is E1 string literal",All 48 images show invariant root ordering. Schema types and table IDs match at every resolved address
FS_CHKP_RA_009,File System,Checkpoint,CHKP flag 0x2000: Windows Insider only (build 29574+). Present on all insider-formatted and insider-upgraded disks. Absent on Win11 24H2 (build 26200). Related to CmsVolumeAttestation/CmsRollbackProtection,No,insider,E2 (all),6 insider images all have 0x2000 set,6 insider images all have 0x2000 set. See report_checkpoint_deep_analysis.md
FS_OTBL_RA_002,File System,Object Table,"Object Table row value header decoded: 8xu32 (format=2, reserved, key_off=0x18, val_off=0x30, record_len, reserved, generation, dirty_gen) + LCN tuple (4xQ) + checksum. v3.10 introduced compact format (80/88 bytes) replacing legacy (200/208 bytes). Upgraded volumes have mixed record sizes.",No,all,E2,CmsObjectTable::GetObjectRecordOfIdentifier and MsGetObjectRecordPayload operate on this row format,"Decoded via refs_object_table.py -vv across 5 version-specific images. record_len field at u32[4] encodes the exact value size (0xC8/0xD0 for legacy, 0x50/0x58 for compact). Generation counter at u32[6] tracks checkpoint virtual clock."
FS_OTBL_RA_003,File System,Object Table,OID 0xD = Trash Table (CmsTrashTable). Async deleted-file cleanup queue with schema 0xe0d0. CmsTrashTable::InitializeTable sets OID=0xD and calls MsCreateDurableTableObject. Empty (0 rows) on clean volumes.,No,all,E2,"CmsTrashTable::InitializeTable decompiled: local_28=0xd, schema=0xe0d0. Win10+Win11 refs.sys both contain CmsTrashTable class",OID 0xD present on all 48 images. B+ tree at OID 0xD shows 0 rows on clean volumes. Page has valid MSB+ signature
FS_OTBL_RA_005,File System,Object Table,OIDs 0x540/0x541 = Reparse Point Index (primary/failover). Created by InitializeReparseIndexTable using MsCreateDurableFailoverTableObject with schema 0x160. References REFS_REPARSE_INDEX_FILE_NAME. Indexes reparse points by tag+OID for efficient enumeration.,No,all,E2,"InitializeReparseIndexTable decompiled: MsInitializeWellKnownObjectId(0x540, 0x541), schema=0x160, ReparseIndexFileReference string",OIDs 0x540/0x541 present on all 48 images. Follows same failover pair pattern
FS_SCHM_RA_001,File System,Schema Table,Schema 0xe0d0 = Trash Table. Created by CmsTrashTable::InitializeTable with OID 0xD. Present on all versions (3.4+).,No,all,E2,CmsTrashTable::InitializeTable decompiled: schema=0xe0d0,Schema 0xe0d0 present on all 48 images
FS_SCHM_RA_002,File System,Schema Table,Schema 0xe110 = Read Cache Metadata. Created by CmsReadCache::ResetReadCacheMetadataFile. First appears in v3.7 (Win11 21H2).,No,3.7+,E2 (win11+),CmsReadCache::ResetReadCacheMetadataFile uses MsCreateDurableTableObject with 0xe110,"Schema 0xe110 absent on v3.4. Present on v3.7+ images | RE-VERIFIED 2026-06-18 (all-disk): claim: '0xe110 ... First appears in v3.7 (Win11 21H2)' — disk: 0xe110 present on every v3.4 image (13/13), i.e. since v3.4, NOT first at v3.7"
FS_SCHM_RA_003,File System,Schema Table,Schema 0xe120 = Candidate Table (dirty range tracking). CCandidateCmsTable class + MsInsertDirtyRangeEntry validation check. First appears in v3.10 (Win11 23H2).,No,3.10+,E2 (win11+),MsInsertDirtyRangeEntry contains validation: if (*(int*)(...) != 0xe120). CCandidateCmsTable constructor references 0xe120,"Schema 0xe120 absent on v3.4/v3.7. Present on v3.10+ images | RE-VERIFIED 2026-06-18 (all-disk): claim: '0xe120 ... First appears in v3.10 (Win11 23H2)' — disk: present on v3.9 (Win11 22H2) images win1122h2test.raw + win1122h2test_testchecksum.raw, so first appearance is v3.9"
FS_SCHM_RA_004,File System,Schema Table,Schema 0xe130 = Heat Engine Persistence Table. CmsVolumeHeatEngine::Initialize creates table via MsCreateDurableTableObject. Persists container heat metrics for tiered storage optimization (compression/decompression/recompression heat classes). Found in Insider refs.sys binary only (not in Win11 26H1 build). First appears v3.10.,No,3.10+,E2 (all),CmsVolumeHeatEngine::Initialize in Insider refs.sys: mov dword [rsp+0x30] 0xe130 as param to MsCreateDurableTableObject. Related: Persist LoadFromTable TrimPersistedEntries,Schema 0xe130 absent on v3.4/v3.7. Present on v3.10+. Always 0 rows on test volumes (no active tiered storage)
FS_SCHM_RA_005,File System,Schema Table,Schema 0x1b0 = $SNAPSHOT/$NAMED_STREAM attribute (NOT Index Root). Confirmed via RefsQueryStreamsInfo: uVar5 = 0xb0 alongside RtlInitUnicodeString($SNAPSHOT). Type code 0xB0 exists in all driver builds but schema 0x1B0 only registered on disk at v3.14+.,No,3.14+,E1,RefsQueryStreamsInfo sets type code 0xb0 with L$SNAPSHOT. 1228 entries across 46 images (28 true snapshots on 9 images + ADS entries). Schema registered in Schema Table only on v3.14+,Type code in driver since v3.4 but schema table entry only on v3.14+ disk images
FS_SCHM_RA_006,File System,Schema Table,Schemas 0x1c0/0x1d0 = $REPARSE_POINT (0xC0) / $EA_INFORMATION (0xD0). NTFS-equivalent type codes reused by ReFS. Min resident 8B. v3.7+. 0xC0: RefsGetReparsePointValue calls LookupAttribute(0xc0). 0xD0: RefsLookupEasOnFile(Ea.c) calls LookupAttribute(0xd0) with _EA_INFORMATION* param.,No,3.7+,E2,"RefsGetReparsePointValue: LookupAttribute(0xc0). RefsCreateReparsePointInternal: CreateAttributeWithValue(0xc0). RefsLookupEasOnFile: LookupAttribute(0xd0), param3=_EA_INFORMATION*","Schemas 0x1c0/0x1d0 absent on v3.4. Present on v3.7+. No instances in directory B+ trees on 80+ images — stored in per-file attribute sets, not visible in Object Table directory entries"
FS_SCHM_RA_007,File System,Schema Table,"Schema 0x1e0 = $EA (0xE0). Schema 0x1f0 (type 0xF0) = USN change-journal $Max metadata (NTFS $UsnJrnl:$Max: MaximumSize/AllocationDelta/UsnId/LowestValidUsn), an unnamed single-instance attr on the ""Change Journal"" file under OID 0x520 — NOT EFS and NOT $LOGGED_UTILITY_STREAM. CORRECTION: 0xF0 is created by RefsSetupUsnJournal (NOT RefsCreateLoggedUtilityStream, which uses type 0x100), the type-0xF0 ATTRIBUTE code path is v3.4-era (RefsSetupUsnJournal), but the registered SCHEMA entry 0x1f0 is v3.14+ — disk-confirmed absent on all v3.4/v3.7/v3.9/v3.10 schema tables and present on all v3.14/Insider; EFS uses the separate 0x100/0x200 path. Min 32B payload (0x20) + 12B wrapper = 44B.",No,3.4+,E2+RD,"RefsLookupEasOnFile: LookupAttribute(0xe0). 0xF0: RefsSetupUsnJournal CreateAttribute(0xf0,NULL,0x20) win11 L445618 / win10 RefsCreateAttributeWithValue(0xf0,0x20) L325274; READ via LookupAttribute(0xf0,NULL). RefsMapLoggedUtilityStream/EfsReadEfsData use type 0x100, not 0xF0.","Type 0xF0 observed on exactly 9 images (1 per image, all where USN journal active), always on the Change Journal file under OID 0x520, marker 0x80000001, 44 bytes. MaxSize 32MB/128MB = standard fsutil usn createjournal sizes. v3.14 empirical floor is a sampling artifact (no pre-v3.14 corpus image had USN active)."
FS_SNAP_RA_001,File System,Embedded Attribute System,"Complete embedded attribute taxonomy with dual-marker system. The genuine embedded-attribute type-code set is EXACTLY 10 codes: 0x38/0x39 ($OBJ_LINK), 0x80 ($DATA), 0x90 ($I30_INDEX), 0xB0 ($SNAPSHOT/ADS), 0xC0 ($REPARSE), 0xD0 ($EA_INFO), 0xE0 ($EA), 0xF0 (USN $Max), 0x100 ($EFS); 0x50/0x60/0xA0 NEVER appear as embedded sub-records. Marker 0x80000001: single-instance (0x80 DATA header/0xC0 REPARSE/0xD0 EA_INFO/0xE0 EA / 0xF0 USN $Max). Marker 0x80000002: multi-instance (0x39 FileRef/0x80 DATA stream/0xB0 Named Stream/0x100 $EFS). 0xB0 format: val[0x04]=0x68=EXTENDED (snapshots) vs !=0x68=INLINE (ADS). 532503 entries (526454 with markers + 6049 unclassified) across 409185 files on 112 images.",No,all (core types 0x39/0x80 since v3.4; 0xF0 USN $Max since v3.4; 0xC0/0xD0 schema v3.7+; 0xB0/0xE0/0x100 schema v3.14+),E2+RD,RefsQueryStreamsInfo: type 0xb0 = $SNAPSHOT. RefsGetReparsePointValue: 0xC0. RefsLookupEasOnFile: 0xD0/0xE0. RefsSetupUsnJournal CreateAttribute(0xf0) (USN $Max). EFS uses type 0x100. Dual-marker system: 0x80000001 single-instance (incl 0xF0) / 0x80000002 multi-instance,28 true version snapshots (dsid>0x1000) across 9 images + 1192 inline ADS + 2200 reparse points + 10130 EA entries (WSL $LXUID/$LXGID/$LXMOD/$LXDEV) + 9 type-0xF0 USN $Max (1/image). All schemas 0x1B0-0x200 empirically confirmed. Tool: refs_snapshots.py + dual_marker_scan.py
FS_VBR_RA_010,File System,VBR,"VBR 0x58-0x1FF: 424-byte trailing area confirmed all-zero on 13 representative images spanning all ReFS versions (3.4-3.14) and configurations (4K/64K/128K clusters, CRC64, SHA256, dedup, insider). No hidden data. True reserved space.",No,all,E2 (insider),InitializeVcbFromBootSector reads only up to 0x57; nothing beyond accessed,Verified on 13 images: win10refs2g win10refs64k win11refsmini win11refs4gattributes win11refs64k win10to11refsupgrade win11refsdedup win11refssha256 win1121h2test win1122h2test win1123h2test insiderefs8g winsider. See ra_step4_12_deep_structure_report.md
FS_SUPB_RA_001,File System,Superblock,SUPB page header fully decoded (0x00-0x4F). Page header version always 2. Reserved fields at 0x08 and 0x18 always zero. Volume signature = XOR of GUID dwords. LCN slots 1-3 always zero (SUPB is single-cluster). Table OID = 0. Gap 0x60-0x67 between Volume GUID and SUPB version confirmed always zero.,No,all,E2,CmsVolume::Start reads and validates SUPB page header fields,Page header fields verified on 13 images. SUPB 0x60-0x67 zero across all configurations. See ra_step4_12_deep_structure_report.md
FS_SECD_RA_001,File System,Security Descriptors,OID 0x530 B+ tree key/value structure decoded. Key (16B): value_size(4)+padding(4)+SecurityId_high(4)+SD_hash(4). Value: hash_echo(4)+count_echo(4)+size_echo(4)+SECURITY_DESCRIPTOR_RELATIVE. SD is self-relative Windows format with Owner/Group SIDs and DACL/SACL.,No,all,E2,CmsSecurityDescriptorStream and CmsHashTable classes in refs.sys. InitializeSecurityDescriptorStream creates OID 0x530,"Parsed on win11refsmini.raw (12 SDs), win10refs2g.raw (8 SDs), win11refs4gattributes.raw (10 SDs). All SDs have revision=1 SE_SELF_RELATIVE. Tool: refs_security.py"
FS_SECD_RA_002,File System,Security Descriptors,Per-file SecurityId (at $SI+0x28 = entry offset 0x50) is compound u64: (reference_count << 32) | sd_hash. Lookup in OID 0x530 by matching key[8:12]==SecurityId_high and key[12:16]==SecurityId_low. CmsHashTable provides O(1) hash-based lookup.,No,all,E2,CmsHashTable class (18-23 functions) implements hash-based SD lookup,Cross-verified: file SecurityId 0x10a9f9562 correctly maps to SD with hash 0x0a9f9562 in OID 0x530 table. Same mapping works on Win10 3.4 and Win11 3.14
FS_SECD_RA_003,File System,Security Descriptors,Schema 0x160 naming correction: 0x160 is used by Reparse Point Index (OIDs 0x540/0x541) via InitializeReparseIndexTable not by Security Descriptors (OID 0x530). OID 0x530 uses stream-type table without schema. Schema name 'Security Descriptor' is misleading.,No,all,N/A,InitializeReparseIndexTable creates 0x540/0x541 with schema 0x160. OID 0x530 created by InitializeSecurityDescriptorStream separately,"OID 0x540 B+ tree confirmed using schema 0x160 key structure (24-byte keys). OID 0x530 B+ tree uses different key structure (16-byte keys with hash-based lookup) | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Pure schema-naming correction; verified against structure_reference (0x530 schema='—', 0x540 schema=0x160). The InitializeReparseIndexTable attribution is E2/static — not byte-checkable. Confirmed consistent, label not independent"
FS_REPS_RA_001,File System,Reparse Points,Reparse Index (OID 0x540/0x541 schema 0x160) key structure decoded (24 bytes): key_type(2 always 0x0001)+key_flags(2 0x8000)+ReparseTag(4)+ParentOID(8)+FileOID(8). Value: minimal/empty (pure index). Enables fast enumeration of all reparse points by tag.,No,all,N/A,Empirical observation; not yet verified in driver code,Parsed on win11refs4gattributes.raw: 162 entries (161 SYMLINK + 1 AF_UNIX). win10refs2g.raw: 3 SYMLINK. Key structure consistent across versions. Tool: refs_reparse.py
FS_REPS_RA_002,File System,Reparse Points,"WSL stores Linux metadata in Extended Attributes ($LXUID $LXGID $LXMOD $LXDEV) using FILE_FULL_EA_INFORMATION format NOT in reparse data. WSL special files use reparse tags AF_UNIX 0x80000023, LX_FIFO 0x80000024, LX_CHR 0x80000025, LX_BLK 0x80000026 (CORRECTED off-by-one, E41/#341; confirmed on win11refs2gtargeted). $LXDEV = 8 bytes (u32 major + u32 minor); $LXUID/$LXGID/$LXMOD = 4B. WSL symlinks use IO_REPARSE_TAG_LX_SYMLINK (0xA000001D). Requires -o metadata mount option.",No,all,N/A,WSL EA format documented in refs_attributes.py. Windows FILE_FULL_EA_INFORMATION is standard Windows EA chain format,EA parsing verified on win11refs4gattributes.raw WSL files. $LXUID/$LXGID/$LXMOD extracted. See ra_step4_3_attributes_report.md and ra_step4_14_reparse_points_report.md
FS_SUPB_RA_002,File System,Superblock,SUPB page has NO self-checksum (offset 0x08 always 0x00000000). SUPB is outside the Merkle-tree checksum chain — it is the root and has no parent to store its checksum. Silently repaired by driver on v3.14 mount.,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,Verified on win11refsmini_beforecorruption.raw and post-mount image: SUPB offset 0x08 = 0 in both. See ra_step4_15_corrupted_metadata_report.md
FS_SUPB_RA_004,File System,Superblock,SUPB Volume GUID at offset 0x50 (16 bytes) is non-critical for bootstrap. Corrupting the GUID does not prevent mount because the driver locates checkpoints via fixed-offset CHKP LCN pointers at SUPB+0xC0/0xC8 not via the GUID.,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,Corrupted GUID volume mounted and operated normally. All files readable. See ra_step4_15_corrupted_metadata_report.md
FS_UPGD_RA_001,File System,Version Upgrade,SUPB is NOT modified during version upgrade; only VBR and CHKP are modified. SUPB retains old self-descriptor length (0x68) even after upgrade to 3.14.,No,3.4;3.14,N/A,Empirical observation; not yet verified in driver code,See sublab_step4_version_analysis.md Section 6
FS_PCTB_RA_001,File System,Parent-Child Table,"Deep row structure: Key=32B [u64 zero, u64 ParentOID, u64 zero, u64 ChildOID]. Value overlaps key (key_offset==val_offset key_length==val_length). Pure set/index with no payload data; 48-byte rows. Only directories tracked; no multi-parent entries across 31392 entries on 76 images. Schema 0xe040 u32[7]=0x08 = key-comparison-rules selector (8 -> CmsRulesPARENT_CHILD_LINK; NOT a bitfield, E50); value-overlaps-key is a caller-side same-buffer construction (AddParentChildLink), not a schema flag. Format version-invariant v3.4-v3.14",No,all,E2+RD,"E2 2026-06-19: u32[7] (schema-def +0x1C) = KEY-COMPARISON-RULES selector (enum 1..0x14), NOT a bitfield. RegisterSchema win11 @83852 bounds-checks <0x15 and indexes key-rules table DAT_1401cb370 (GetKeyRulesInternal @102170); 0xe040 -> 8 -> CmsRulesPARENT_CHILD_LINK::CompareKeys; .rdata system-schema table reproduces disk values exactly. value-overlaps-key is caller-side: AddParentChildLink @232562 passes the SAME 32-byte buffer as key+value; InitializeIndexEntry @8710 detects value_ptr<=key_ptr<=value_ptr+len and sets value_offset=key_offset. No schema-flag/bit-0x08 test.","See ra_step4_25_parent_child_table_report.md | CORRECTED 2026-06-19 (E50): u32[7]=0x08 confirmed unique to 0xe040; value-overlaps-key 238/238 PCT rows, 0 on all other tables. Bit-3 hypothesis REFUTED on disk: schema 0x130 (u32[7]=0x9, bit3 set) tables do NOT overlap. u32[7] is a key-rules enum, not a bitfield. See pct_schema_u32_7_2026-06-19.md."
FS_SCHM_RA_008,File System,Schema Table,"Complete schema identification: 36 distinct schema IDs (18 system + 18 attribute; corrected from 37/19 — phantom 0xe020/0xe0a0 absent from all disk images). 28 confirmed with name (4 attribute via E2 static analysis, 4 legacy system via E3 structural inference). Naming corrections: 0x160=Reparse Index; 0x1b0=$SNAPSHOT; 0x1c0=$REPARSE_POINT; 0x1d0=$EA_INFORMATION; 0x1e0=$EA; 0x1f0=$LOGGED_UTILITY_STREAM. 4 legacy system schemas named via vdo matching: 0xe050=Object Data Table, 0xe070=Reserved/Placeholder, 0xe0e0=System Directory Entry List, 0xe0f0=System File Stream. 2 schemas remain unknown (2 legacy attribute 0x4/0x6). Schema 0xe140 resolved: Volume Attestation Table (E2: CmsVolumeAttestation::InitializeAttestationTable via MsCreateDurableTableObject; 61 functions in class; confirmed via Insider decompilation 2026-05-25)",No,all,E2 (insider),ra_step4_22_schema_table_names_report.md + ra_step4_8b §1-2,See ra_step4_22 + ra_step4_8b. 28/37 schemas now named. Legacy schemas confirmed vestigial via exhaustive binary search + CHKP root analysis
FS_OTBL_RA_006,File System,Object Table,"OID monotonic assignment: user OIDs start at 0x700 (hardcoded in MsSetMinimumNewObjectId) and increment sequentially via atomic GenerateIdentifier. OIDs are NEVER reused after deletion (DeleteIdentifier never decrements counter). Gaps = deleted objects. Confirmed on 66+ images and by static analysis across 3 driver versions (128 OID functions decompiled, see FS_OTBL_SA_001-010).",No,all,E2,ra_step4_20_refs_chronology_analysis.md + ObjectIdLifecycle.md,Static proof: GenerateIdentifier(SA_001) atomically increments counter; DeleteIdentifier(SA_009) never decrements; MsSetMinimumNewObjectId(SA_004) hardcodes 0x700 boundary
GN_MISC_001,General,Version Compat,v3.2 and v3.4 structures 'almost identical' (Nordvik),No,3.2/3.4,N/A,,
GN_MISC_002,General,Georges Thesis,v1.2 structural analysis with EnCase comparison,No,1.2,N/A,,
FS_OTBL_SA_001,File System,Object Table,"CmsObjectTable::GenerateIdentifier: atomic OID allocation via LOCK prefix increment at this+0x18. Returns max+1 as new OID in 128-bit SmsBigIdentifier format [0, OID]. Win11/Insider: lock-free atomic; Win10: GuardedMutex at this+0x40. 458 bytes (Insider).",No,all,E2 (all),ObjectIdLifecycle.md §2.1. Cross-version comparison: Win10 uses KeAcquireGuardedMutex(this+0x40); Win11/Insider uses x86 LOCK prefix. Identical counter-increment logic in all versions,See ObjectIdLifecycle.md
FS_OTBL_SA_002,File System,Object Table,"CmsObjectTable::InitializeTable: bootstraps OID counter at mount time. Two-source: (1) reads stored counter from B+-tree root data; (2) validates by FindRow with _CmsKey::RightMost sentinel → returns actual max key. If max key > stored counter, updates to max. Schema 0xe030. 815 bytes (Insider).",No,all,E2 (insider),ObjectIdLifecycle.md §2.2. All three versions use identical two-source initialization strategy. _CmsKey::RightMost confirmed as FindRow sentinel in all builds,See ObjectIdLifecycle.md
FS_OTBL_SA_003,File System,Object Table,CmsObjectTable::SetMinimumNewObjectId: sets minimum OID boundary. Compares 128-bit proposed minimum with current counter; only updates if proposed > current. Uses PushLock exclusive. 108 bytes (Insider).,No,all,E2 (insider),ObjectIdLifecycle.md §2.3. Present in all three versions with identical logic,See ObjectIdLifecycle.md
FS_OTBL_SA_005,File System,Object Table,RefsIsSystemObjectId: 25-byte function returns true for OIDs in 0x01-0x5FF and 0x601-0x6FF. Root directory (0x600) explicitly excluded from 'system' classification. Boundary at 0x6FF matches MsSetMinimumNewObjectId.,No,all,E2,ObjectIdLifecycle.md §2.5. Identical in all three versions (25 bytes each),See ObjectIdLifecycle.md
FS_OTBL_SA_008,File System,Object Table,RefsOpenFcbById: opens a file by its 128-bit OID. Largest Refs-layer OID consumer (5792B Win11 / 5958B Insider). Call chain: OID lookup → FCB create → RefsMapStandardInfo → security load → RefsOpenFile. Two FCB creation paths (normal + hardlink/special).,No,3.14;insider,E2 (all),RefsOpenFcbById.md. Win11 takes explicit _IRP*; Insider uses opaque param (+166 bytes for attestation checks),See RefsOpenFcbById.md
