ref_id,proof_class,category,structure,description,verification_target,refs_version,static_evidence_level,static_notes,raw_notes
GN_PAGE_001,STRUCTURAL,General,Page Header,0x00-0x04: page signature (SUPB/CHKP/MSB+),No,3.4,E1,Signatures found in binary string table of both Win10 and Win11 refs.sys,Validated on all 39 images; every metadata page starts with 4-byte ASCII signature
GN_PAGE_003,PURE-RD-LAYOUT,General,Page Header,0x0C-0x10: volume signature,No,3.4,N/A,Raw disk analysis: XOR of volume GUID dwords; verified on all 39 images (filesystem_category.md Section 2.3),XOR of volume GUID dwords; verified on all 39 images (filesystem_category.md Section 2.3)
GN_PAGE_005,PURE-RD-LAYOUT,General,Page Header,0x18-0x20: tree update clock,No,3.4,N/A,Raw disk analysis: tree update clock observed on all MSB+ pages; matches Prade's description,"8-byte per-tree modification counter. Non-zero in 82% of pages (343/420 in 4GB image). Distinct from VA clock at 0x10 | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Field at 0x18 confirmed on disk; 'tree update clock' label is E2/inference. Offset CONFIRMED, semantic INFERRED."
GN_PAGE_006,PURE-RD-LAYOUT,General,Page Header,0x20-0x40: page address LCN quadruple,No,3.4,N/A,"Raw disk analysis: 4x u64 LCN values confirmed on all pages; format [LCN,LCN,0,0] for non-mirrored",LCN quadruples observed in all page headers; up to 4 LCNs for multi-cluster pages
GN_PAGE_007,PURE-RD-LAYOUT,General,Page Header,0x40-0x50: table identifier (high+low),No,3.4,E2,"E2 2026-06-18: FormatPageHeaderInternal writes page+0x40=id+0x178 (TableIdHigh), page+0x48=id+0x180 (TableIdLow); MsInitializeWellKnownObjectId builds the 16-byte _SmsBigIdentifier as {high=0, low=numeric OID}. Driver compares the LOW half (0x48) TableIds per A.4 (Object ID Table=0x02, Block Refcount=0x05, system tables 0x01-0x22, user >=0x500); E52. page+0x40 is the OID HIGH half (always 0), NOT a schema field. v3.4+v3.14.","RE-MEASURED ALL-DISK 2026-06-18: page+0x40==0 on 137,444/137,444 MSB+ pages (all versions/cluster sizes + SUPB/CHKP); numeric table OID at 0x48. The '0x40-0x50 = table identifier high+low' framing is CONFIRMED (16-byte OID); the earlier 'low=schema type' note was wrong. Resolves the NEEDS-STATIC hold. See structure_reference A.2."
GN_PAGE_RA_001,PURE-RD-LAYOUT,General,Page Header,Page header LCN tuple (0x20-0x38): MSB+ pages store 4 consecutive cluster LCNs (self self+1 self+2 self+3) for their 4-cluster extent. SUPB and CHKP use only slot 0 (self-block); slots 1-3 are zero. This is because SUPB is fixed at LCN 30 and CHKP locations are stored in SUPB checkpoint references.,No,all,N/A,Page allocation code writes 4 LCNs at page header +0x20 for multi-cluster pages,Verified on 13 MSB+ root table pages from Win11 4K image: all have LCN[1]=Self+1 LCN[2]=Self+2 LCN[3]=Self+3. SUPB/CHKP confirmed zero at slots 1-3. See ra_step4_12_deep_structure_report.md
GN_PAGE_RA_002,STRUCTURAL,General,Page Header,Page header Table OID (0x48): MSB+ pages store the Object ID of their owning table (e.g. 0x02=Object ID Table 0x0B=Container Table 0x22=Small Allocator). Enables identification of orphaned CoW-discarded pages. SUPB and CHKP have Table OID = 0.,No,all,E2,CmsBPlusTable node initialization writes owning table OID at page +0x48,Verified on 13 root table MSB+ pages: Table OID matches expected table identity. OID values observed: 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x22. See ra_step4_12_deep_structure_report.md
GN_PREF_001,PURE-RD-LAYOUT,General,Page Reference,0x00-0x20: referenced page LCN quadruple,No,3.4,N/A,Raw disk analysis: page references parsed in CHKP root pointers (both 104-byte and 48-byte formats),Root references in CHKP contain LCN quadruples; size varies: 0x68(3.4) vs 0x30(3.14/CRC64) vs 0x48(SHA256)
GN_PREF_002,STRUCTURAL,General,Page Reference,"0x22-0x23: checksum type (1=CRC32-C, 2=CRC64 [custom poly, NOT ECMA-182, #326])",Yes,3.4,E2,Win10 had CmsCrc32 (multiple template variants) and CmsCrc64 variants; Win11 replaced all with unified CmsChecksum class delegating to SymCrypt,"VBR 0x2A is the selector: 0=None, 2=CRC64, 4=SHA256. Reference size changes accordingly: 0x68/0x30/0x48"
GN_PREF_003,PURE-RD-LAYOUT,General,Page Reference,0x24-0x26: checksum length,No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,PT: CRC64 ref checksum length at 0x24 = 8 (verified on win11refsmini v3.14)
MD_ATTR_SA_001,PURE-RD-LAYOUT,Metadata,Attributes,"8 new Win11 attributes: $EFS, $LXUID, $LXGID, $LXMOD, $LXDEV, $SNAPSHOT, $OBJ_LINK, $PAGE. Total: 17->25.",No,3.14,N/A,None of these attributes documented in published literature,"CORRECTED 2026-06-19 (E35): $CBW4 removed — it is a fabrication (0 on disk, 0 as a binary string; the ~140 'CBW4' decomp hits are mangled span<4 byte> template names). Was '9 new / 17->26'. | Win11 schema table has 4 more attribute schemas (0x1c0-0x200) than Win10; may correspond to subsets of these 9 new attributes"
MD_DATA_RA_007,PURE-RD-LAYOUT,Metadata,Data Runs,Integrity stream extents use variable-stride entries. Checksum page entries (flags=0x1c00d0): 32 bytes (24-byte entry + 8-byte CRC suffix) always run_len=1. Data run entries (flags=0x180040): standard 24 bytes variable run_len. Both types point to real file data. Table header format identical to normal extents.,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,Decoded and verified on 50 integrity sub-records across win11refs2g_setintegritystreams0/1.raw. All entries produce total_run matching needed clusters. refs_dataruns.py updated with variable-stride parser
MD_SI_RA_007,STRUCTURAL,Metadata,$SI,ExternalFileId_2/3 populated ONLY for cross-volume operations. RefsConvertToStandardInfoExternalId compares source volume with current; zeros if same. ExtFid3=source parent OID (0x700+ range).,Yes,both,E2+RD,"Win10 @ 1c00b2c6c, Win11 @ 1400e6674: identical volume comparison + conditional zeroing logic",603/525165 non-zero ExtFid_2 entries. All on v3.4 images or upgraded. Zero on all native v3.14.
MD_TS_RA_006,PURE-RD-LAYOUT,Metadata,Timestamps,win11refs8gtest4timestamps.raw volume structure: 244 objects OID range 0x7-0x823. Root OID=0x600 newtests=0x741 viascript3=0x742 v2=0x7AC test=0x707.,No,all,N/A,On-disk layout observation; not directly verifiable from driver code,Verified via refs_dataruns.py on win11refs8gtest4timestamps.raw. See ra_step4_17_4th_timestamp_report.md
